Run,samples,Path Cost History
1,1318,10.2011621955,10.0231569513,10.0024248733,9.97769438344,9.92655901107,9.89211338502,9.87816035274,9.84211605523,9.84019848489,9.83961665569,9.83961665569,9.83507884699,9.82974750671,9.82536991417,9.80865608614,9.80381116473
1,1318,14.5933711529,20.273597002,28.7612380981,39.5814630985,53.3759880066,69.1708381176,85.9984161854,105.971318007,128.557391167,152.170618057,177.669565201,205.841042042,237.51623106,271.752451181,308.300304174,345.624825001
2,1381,11.4933138361,11.3635801099,11.3439191037,11.0718585237,10.3080547241,10.282047332,10.2241131629,10.051851644,10.0296547862,10.0264618038,10.016562674,9.97452789769,9.90093334326,9.89537984552,9.88813592924,9.87293084533
2,1381,16.2053558826,22.8117418289,32.0383520126,43.4308519363,57.5110509396,73.9175448418,91.7583420277,112.380694866,135.666126013,161.132174969,188.629933834,218.509037018,250.178158045,285.367625952,322.820912838,362.987738848
3,1141,11.5599433143,11.5459754377,11.2611678098,11.17545375,11.0347653814,10.0564001261,9.95438002509,9.92143140827,9.91579536109,9.89196430482,9.89196430482,9.88880661711,9.87673922238
3,1141,28.2322919369,34.1549990177,44.3958358765,56.5805618763,70.6739230156,86.7287948132,104.893460989,125.317795992,147.864822865,172.445845842,198.865054846,228.685689926,259.6587708
4,1345,11.2537120009,11.2335419775,11.1888019972,11.1373785741,11.1133424734,11.0588221935,11.0031807973,10.9718967128,10.9475869067,10.072196624,9.96878587737,9.94032070783,9.93978663318,9.92734579624,9.88888213035,9.86560363827
4,1345,17.2523219585,21.4653260708,30.0562229156,40.660050869,53.1538419724,67.8432610035,84.8129608631,103.657803059,124.514507055,148.148598909,174.580973864,202.53896594,234.70865798,268.044101,305.418310881,343.348403931
5,1328,11.4725414252,11.3576251201,11.1990729967,11.1413085778,11.1413085778,10.2579021755,10.1707667473,10.0883590528,10.0275637578,10.0039753058,9.91532934499,9.86365505815,9.84357825577,9.83048920184,9.81500646457,9.81300072838
5,1328,15.8101370335,20.9089591503,28.9659731388,39.3172051907,51.4572629929,65.8955981731,82.5302710533,100.98450613,122.072084188,145.087970018,170.290250063,199.828096151,232.09732008,265.915165186,303.238975048,340.060853004
6,1259,11.5168661897,11.2779518671,11.2762741503,11.1882309665,11.1882309665,11.1707810987,11.1096916673,11.0906407737,11.0865791908,10.0224787465,9.93954233711,9.93071233435,9.90268992009,9.89739738324
6,1259,24.8118469715,31.9644210339,42.4213399887,54.1396100521,68.141947031,84.3926999569,103.148091078,124.306483984,147.545552969,173.730926991,202.515697002,233.501147032,267.169301033,302.042198896
7,1301,11.8351767998,11.8351767998,11.7679023474,11.2326792283,11.0688917171,11.031687436,10.9690414784,10.910837866,10.9095505554,10.9080883561,10.9067419517,9.96970803088,9.94470163693,9.93339104029,9.92263485936,9.91528056483
7,1301,19.4831259251,20.0971591473,27.5157589912,36.7110300064,47.8308749199,61.1688380241,76.5909531116,94.2925400734,114.140656948,136.860933065,161.988270044,188.855055094,218.788631916,250.966516972,285.902387142,322.018849134
8,1260,10.5729731409,10.5665818583,10.4099576996,10.0447464228,9.98116379073,9.98116379073,9.96197242791,9.95669984399,9.94455481577,9.93285752255,9.88836233272,9.88440523286,9.8786632293,9.87409950454
8,1260,30.4095950127,36.155452013,46.9175112247,59.2823500633,74.2689070702,91.0506510735,110.055008173,131.435020208,154.600176096,181.052857161,209.505280018,239.905954123,274.073455095,308.356017113
9,1337,11.7417599547,11.7417599547,11.5253642398,11.2841269874,11.1023437263,11.0761644906,11.0717436053,11.0523204175,11.001383554,11.001383554,10.0326604827,9.98865324035,9.9798537493,9.97427420185,9.95358265802,9.84353285804
9,1337,17.3108978271,22.6306920052,31.3169050217,41.7807610035,54.3220329285,69.28561306,85.9633898735,105.251342058,126.9566679,150.948817015,177.481530905,206.531529903,237.940335989,271.8997159,308.192971945,344.510021925
10,1108,11.324252005,11.2555734477,11.1481278049,11.1473766463,11.0527936544,10.9991377215,10.9741522124,10.9581301752,10.8959393587,10.5321553164,9.94670107807,9.92619564311
10,1108,41.0829238892,44.7840569019,55.5606539249,68.0026628971,83.2376899719,102.027680874,123.403462887,146.711411953,173.681236982,202.899171829,235.144193888,268.514312983
